id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2589346,Close to city & nature. Calm area.,2203983,Annelie,,Hägersten-Liljeholmens,59.3088,17.9891,Private room,374,30,11,2021-12-02,0.13,1,120,1,
2624356,Modern 4 room apartment Stockholm,13441032,Peter,,Kungsholmens,59.3398,18.00785,Entire home/apt,1602,2,17,2022-05-01,0.17,1,269,5,
2639392,Bright cozy room in Stockholm!,3418393,Teresia,,Farsta,59.26278,18.07926,Private room,761,2,105,2022-05-22,1.10,1,192,13,
2643330,Charming villa close to city center,13293700,Jenny,,Bromma,59.34257,17.89328,Entire home/apt,1700,4,17,2019-08-12,0.24,1,4,0,
2647595,Studio at Östermalm,7976790,Per,,Östermalms,59.33761,18.10043,Entire home/apt,617,3,308,2022-06-05,3.42,1,231,44,
2649371,Green Room in Monica´s palace,6173224,Monica,,Rinkeby-Tensta,59.3853,17.92357,Private room,162,60,40,2020-10-31,0.40,3,103,0,
2650231,"Apartment Södermalm, Stockholm",13566516,Ella,,Södermalms,59.3201,18.05927,Entire home/apt,1600,2,20,2022-06-05,0.32,1,33,1,
2668289,3R apt close to Södermalm,13658686,Elin,,Södermalms,59.30371,18.09832,Entire home/apt,1058,4,67,2021-08-31,0.68,1,4,3,
2682351,Spacious and comfortable room in central Stockholm,13731960,David,,Norrmalms,59.34708,18.04624,Private room,621,3,113,2022-06-19,1.14,1,3,16,
2695984,Magic Trendy City Flat &lt;3,13799080,Evelyn,,Södermalms,59.30755,18.08037,Entire home/apt,999,1,169,2019-11-03,1.71,1,178,0,
2700523,Centrally located for 3 ( possible 4 ) people,13819048,Oscar,,Kungsholmens,59.33785,18.0244,Entire home/apt,2000,5,15,2022-03-08,0.19,1,176,2,
2713653,35 sqm city flat in the heart of Kungsholmen,13887019,Martin,,Kungsholmens,59.33017,18.03628,Entire home/apt,1200,90,10,2019-06-05,0.10,1,219,0,
2715352,Waterfront apartment city center for 5 pers,13894935,Lina,,Södermalms,59.31951,18.03471,Entire home/apt,1900,5,35,2022-04-15,0.36,1,5,5,
2774449,Fun and Vibrant Apartment on Artsy Södermalm Island,11724857,Ann,,Södermalms,59.31899,18.07417,Entire home/apt,1500,120,12,2021-06-27,0.12,2,144,1,
2782550,"Modern, lovely view of Stockholm",11290074,Cornelia,,Södermalms,59.31849,18.05633,Entire home/apt,3208,2,75,2022-06-05,0.77,1,259,8,
2845289,Fantastiskt hus i underbart läge,14551832,Marcus,,Bromma,59.32676,17.93197,Entire home/apt,1950,3,0,,,1,336,0,
2856241,Charming 4-bedroom apt Sthlm City,14602075,Malin,,Norrmalms,59.33725,18.05207,Entire home/apt,2664,2,57,2022-06-18,0.58,1,212,3,
2913195,Cozy flat in downtown Stockholm,14880177,Misagh,,Södermalms,59.31631,18.08022,Entire home/apt,300,10,2,2014-08-20,0.02,1,237,0,
2917399,"Stockholm, SOFO; near Old Town.",679557,Philo And Lars,,Södermalms,59.30884,18.0841,Entire home/apt,1510,4,3,2017-07-01,0.04,1,1,0,
2995648,Experience more,8098890,Robin,,Södermalms,59.31512,18.06252,Entire home/apt,2681,3,106,2022-06-21,1.07,20,40,1,
3008038,Spacious 3 room apt on Södermalm,4306005,Fredrik,,Södermalms,59.30812,18.06417,Entire home/apt,2100,2,40,2022-04-19,0.41,1,254,7,
3039106,"A one-of-a-kind apartment, overlooking the park",6790299,Magnus,,Norrmalms,59.34316,18.04366,Entire home/apt,2107,5,28,2022-04-18,0.29,1,0,2,
3078275,Charming apartment Stockholm Södermalm,15665764,Per,,Södermalms,59.31748,18.06349,Entire home/apt,1629,7,17,2019-08-09,0.17,1,236,0,
3092226,"Centralt Stockholm, 5 rum",3573085,Michel,,Östermalms,59.3441,18.06621,Entire home/apt,1250,21,4,2016-06-30,0.04,1,251,0,
3092308,Urban/Nature Stockholm,4736776,Björn,,Hägersten-Liljeholmens,59.31377,18.01204,Private room,481,2,121,2020-03-10,1.23,1,0,0,
3108437,3/4-Student/Int-ship-room 15 min to Stockholm City,8387566,Mats,,Hägersten-Liljeholmens,59.30472,17.97565,Private room,493,7,11,2022-06-05,0.11,4,293,2,
3113785,Cozy Room Near Town & Nature!,9192286,Askar,,Skärholmens,59.29722,17.942,Private room,650,1,71,2017-11-04,0.72,1,365,0,
3132733,Villa in idyllic part of Bromma,15907809,Emma & Alex,,Bromma,59.32445,17.93222,Entire home/apt,3398,6,9,2021-07-31,0.11,1,10,2,
3135540,Beautiful apartment in city centre,15921456,Jelena,,Södermalms,59.31742,18.07368,Entire home/apt,1750,7,5,2019-09-02,0.06,1,4,0,
3137206,Spacious apartment In the center of Stockholm,15928933,Caroline,,Södermalms,59.31686,18.04892,Entire home/apt,2000,7,4,2018-08-25,0.08,1,163,0,
3146273,Charming 3-room apartment,7992944,Elias,,Norrmalms,59.34044,18.03928,Entire home/apt,1650,5,18,2019-10-06,0.18,1,0,0,
3165066,"Central city, child friendly",16053855,Angelica,,Norrmalms,59.34798,18.04504,Private room,900,1,38,2019-12-10,0.56,1,361,0,
3195118,Trendy city apartment with sea view,16195157,Anna & Björn +Hugo & Filip,,Kungsholmens,59.32778,18.03946,Entire home/apt,2900,5,37,2019-08-12,0.43,1,1,0,
3212751,Best location - Close to everything,8662135,Per,,Bromma,59.33604,17.98558,Private room,469,3,165,2022-06-20,1.69,2,39,12,
3216031,Sunny and spacious in city centre,16287793,Alexander,,Östermalms,59.33799,18.0926,Entire home/apt,793,7,20,2019-11-30,0.21,1,241,0,
3248936,Fin fyra i Hammarby Sjöstad,13482209,Carina,,Södermalms,59.30386,18.09418,Entire home/apt,1700,2,5,2016-05-15,0.06,1,175,0,
3259719,Colorful flat in trendy Sofo,16485609,Arvid,,Södermalms,59.31368,18.09296,Entire home/apt,2000,5,17,2018-08-15,0.20,1,0,0,
3274150,Central location in beautiful park!,16282781,Kerstin,,Östermalms,59.34427,18.08467,Private room,745,1,54,2019-09-13,0.57,1,1,0,
3277477,City Backpackers - Comfortable 8-bed Apartment,4380521,Joakim,,Norrmalms,59.33595,18.05487,Entire home/apt,2949,1,64,2022-06-12,0.68,3,289,18,
3315206,Room at Odenplan,16739269,Ture,,Norrmalms,59.34362,18.05069,Private room,406,1,146,2020-09-25,1.51,2,14,0,
3322916,Bright 3 room apartment,16776647,Ricky,,Enskede-Årsta-Vantörs,59.29735,18.07939,Entire home/apt,1100,2,97,2022-06-06,1.01,1,1,10,
3332427,"Cozy & stylish flat, Old town Sthlm",10692460,Henrik,,Södermalms,59.32381,18.07134,Entire home/apt,1250,3,31,2022-06-13,0.62,1,97,23,
3333022,"Oasis by the lake, 10 min from central Stockholm",4268339,Kristina,,Hägersten-Liljeholmens,59.30603,17.9731,Entire home/apt,1700,4,13,2019-08-03,0.13,1,0,0,
3351967,Beautiful perfectly located flat,16913413,Anna,,Kungsholmens,59.33082,18.03923,Entire home/apt,2500,6,31,2022-01-03,0.32,1,186,2,
3400159,Villa nära bad/bathing place & Stockholm City,17149641,Madeleine,,Älvsjö,59.27285,17.96317,Entire home/apt,1900,5,3,2019-07-24,0.04,1,59,0,
3410275,Own room in 2-bedroom flat,16809440,Monica,,Enskede-Årsta-Vantörs,59.30232,18.04689,Private room,464,1,68,2021-10-10,0.70,1,22,1,
3417805,Cosy room in a spacious and stylish home,17231775,Jane,,Hägersten-Liljeholmens,59.31602,18.01264,Private room,508,2,149,2022-06-23,2.87,1,99,32,
3422549,Southside,17251325,Nicole,,Södermalms,59.31693,18.04438,Entire home/apt,967,3,5,2022-05-27,0.05,1,327,1,
3439208,"Martin's room, close to metro & city",2877752,Martin,,Hägersten-Liljeholmens,59.30765,17.99767,Private room,375,1,28,2020-03-07,0.56,2,0,0,
3452314,Light beautiful apartment Stockholm,17398947,Yannick,,Hägersten-Liljeholmens,59.30512,18.00471,Entire home/apt,1090,14,17,2019-08-02,0.19,1,0,0,
3456230,A modern three bedroom flat near water,15071959,Anna,,Hägersten-Liljeholmens,59.30581,18.02852,Entire home/apt,1045,4,5,2019-08-06,0.05,1,0,0,
3471610,Very central Stockholm apartment,17412048,Elinor,,Norrmalms,59.3455,18.05449,Entire home/apt,1421,3,3,2022-05-28,0.04,1,248,1,
3512239,Cozy apartment in a lovley area,4544741,Åsa,,Hägersten-Liljeholmens,59.30154,18.00838,Entire home/apt,1700,4,4,2019-08-02,0.05,1,0,0,
3570773,"Cozy, neat place in great location",107502,Anna,,Södermalms,59.30759,18.08946,Entire home/apt,415,150,0,,,1,144,0,
3682307,Renovated Apartment in SOFO 116km,18719400,Ingun,,Södermalms,59.30894,18.08553,Entire home/apt,1800,6,36,2022-01-01,0.38,1,3,1,
3683621,1 room in lovely house 5min to city,18729580,Raj,,Enskede-Årsta-Vantörs,59.28767,18.07485,Private room,405,30,39,2022-05-21,0.41,1,27,3,
3695394,Quaint cottage near Sthlm center,9149554,Lena,,Enskede-Årsta-Vantörs,59.27535,18.03203,Entire home/apt,1050,4,49,2022-06-14,0.51,1,16,1,
3709938,Charming flat in beautiful Old Town,18720954,Maria And Family,,Norrmalms,59.32776,18.07586,Entire home/apt,1200,5,101,2022-06-20,1.06,1,0,6,
3717359,Charming studio in Stockholm center,18979238,Virginie,,Södermalms,59.31014,18.08919,Entire home/apt,718,3,62,2021-12-07,0.65,1,6,5,
3754208,Old town with great view,7626050,Erik,,Södermalms,59.32387,18.06933,Entire home/apt,1500,28,30,2022-06-17,0.36,1,85,6,
3770117,A great location and a good vibe,8778421,Elsa,,Södermalms,59.31089,18.08162,Entire home/apt,1200,2,78,2022-05-15,0.82,1,0,10,
3869021,Luxurious Penthouse Apt (1700sqft),2537136,Jakob,,Södermalms,59.31826,18.03141,Entire home/apt,3457,5,19,2022-06-05,0.21,1,14,5,
3889724,Studio apartment in Sofo Södermalm,12146440,Therese,,Södermalms,59.31617,18.08942,Entire home/apt,1131,5,117,2022-06-05,1.23,1,41,17,
3892223,City/Room20sqm/Bed4sqm/Balcony5sqm,6422311,Christian,,Norrmalms,59.34011,18.03048,Private room,577,28,36,2019-09-29,0.38,2,93,0,
3914663,5.30 meter i takhöjd,20276258,Mia,,Norrmalms,59.34229,18.03599,Entire home/apt,4000,5,0,,,1,315,0,
3933634,Perfect city pad,20381576,Richard,,Östermalms,59.33787,18.07866,Entire home/apt,887,500,3,2015-09-12,0.03,1,6,0,
3955249,Lantligt & lugnt nära Älvsjömässan,1554143,Anitta,,Älvsjö,59.27829,17.9923,Entire home/apt,1200,3,12,2020-02-10,0.14,2,364,0,
3989890,Unique 2 room apt in center Sthlm,20642359,Johan,,Norrmalms,59.34442,18.05177,Entire home/apt,2500,2,8,2022-06-13,0.09,1,323,3,
4006098,Boende i gamla Midsommarkransen,20771505,Anna,,Hägersten-Liljeholmens,59.30272,18.0053,Entire home/apt,2500,3,74,2022-06-06,0.79,1,58,5,
4027340,Villa with stunning lake views 15 mins from city,4068175,Florence,,Hägersten-Liljeholmens,59.30263,17.95194,Entire home/apt,2139,5,15,2018-07-18,0.16,1,1,0,
4046666,Top apartment - heart of Stockholm,3691991,Espen,,Norrmalms,59.33839,18.06491,Entire home/apt,1800,5,87,2022-06-01,0.92,1,269,9,
4051579,Wonderful apartment close to city,20595767,Peter,,Enskede-Årsta-Vantörs,59.29512,18.06441,Entire home/apt,450,40,0,,,1,0,0,
4163302,Top floor - balcony and fireplace (1.259 ft2),8774397,Björn,,Östermalms,59.33964,18.08023,Entire home/apt,2800,2,60,2022-02-28,0.95,1,5,9,
4194834,A great space in Stockholm,21762699,Madeleine,,Skarpnäcks,59.28635,18.11015,Entire home/apt,500,3,5,2022-06-06,0.10,1,0,1,
4196702,Heart of Sofo,21771376,John,,Södermalms,59.31398,18.08415,Entire home/apt,600,2,56,2020-11-23,0.94,1,0,0,
4223275,Renovated - Stylish 2 rooms City Apt.,21917357,Sue,,Östermalms,59.34632,18.11412,Entire home/apt,1156,3,18,2022-04-08,0.19,1,0,3,
4224411,Quiet room in the city centre,7275386,Ewa,,Kungsholmens,59.3346,18.03524,Private room,431,3,95,2022-06-18,1.05,1,265,14,
4240215,"Villa 15 min fr city,weekly rental",22003025,Sofia,,Enskede-Årsta-Vantörs,59.2797,18.07888,Entire home/apt,2500,7,1,2016-07-30,0.01,1,334,0,
4266112,Cosy little house. with a garden.,22145903,Krister,,Älvsjö,59.26784,17.98297,Entire home/apt,796,5,47,2022-04-30,0.58,1,97,4,
4274300,"Retro, eclectic, nostalgic aptmnt in finest:",222520,Robert Mattias,,Södermalms,59.31827,18.02978,Entire home/apt,738,5,90,2020-11-01,1.23,1,0,0,
4317025,2 room apt near the Globen + City,22407158,Medet,,Farsta,59.27354,18.07057,Entire home/apt,3500,1,6,2016-04-11,0.07,1,365,0,
4345037,Charming villa in perfect spot,22557404,Sophia,,Bromma,59.32913,17.97592,Entire home/apt,4000,4,38,2022-06-19,0.45,1,196,4,
